Day,Sleeping,Eating,Class,Homework,Hygiene,Exercise,Chores,Fun
Sunday,408.11538461538464,132.96153846153845,0.0,261.4230769230769,94.09615384615384,30.153846153846153,133.3846153846154,352.1730769230769
Monday,342.61538461538464,111.0576923076923,78.46153846153847,331.9807692307692,103.23076923076923,30.076923076923077,54.57692307692308,360.3076923076923
Tuesday,438.78846153846155,98.1923076923077,421.7307692307692,154.40384615384616,88.86538461538461,0.0,72.6923076923077,137.6346153846154
Wednesday,404.5769230769231,130.40384615384616,0.0,325.4423076923077,119.0576923076923,39.0,73.3076923076923,320.5192307692308
Thursday,363.0576923076923,112.0,78.46153846153847,263.38461538461536,105.09615384615384,29.576923076923077,55.09615384615385,405.63461538461536
Friday,488.78846153846155,97.98076923076923,421.7307692307692,0.0,88.09615384615384,0.0,42.28846153846154,273.4230769230769
Saturday,484.3269230769231,133.07692307692307,0.0,206.1153846153846,120.26923076923077,29.71153846153846,112.13461538461539,326.6730769230769
